RecipeID;Recipe_Name;Author;Review_Count;Prepare_Time;Cook_Time;Total_Time;Ingredients;Directions;Calories;Servings;Recipe_Photo
13220;Clam Chowder II Recipe;Becky Riley;38;X;X;X;margarine,onion,england,clam,potato,cream;Preheat oven to 200 Degrees F (105 Degrees C).Saute the onion in butter. Combine the clam chowder, minced clams, cream of potato soup and half and half in a large roasting pan. Bake for 4 hours.;303.7;9;https://images.media-allrecipes.com/userphotos/560x315/882919.jpg
23653;Coconut Cream Pie IX Recipe;Sara;31;30 m;30 m;6 h;white sugar,flour,milk,cream,egg,coconut,bake;Combine sugar, flour, milk and cream in a heavy saucepan. Cook over medium-high heat, stirring constantly, until thick and bubbly. Continue to boil for one minute. Remove from heat.In a medium bowl, beat the egg yolks. Gradually stir in 1/4 of the hot mixture into yolks. Pour yolks back into remaining hot mixture stirring constantly. Cook, stirring constantly, for 2 minutes. Remove from heat and stir in coconut. Pour into baked pie shell.Chill for several hours or overnight before serving.;351.2;8;https://images.media-allrecipes.com/userphotos/560x315/2613324.jpg
9743;Dark Dreams Recipe;Stacey;6;10 m;30 m;40 m;almond,butter,white sugar,baking powder,flour,vanilla;Melt butter in a frying pan and let brown to a dark color.  Do not burn.  Remove from heat and pour into mixing bowl.  Discard any residue and let cool to room temperature.Cream cooled butter with sugar, and stir in vanilla.  Resift flour with baking soda and mix into the butter mixture until well blended. Knead dough lightly, cover and refrigerate for one hour.Preheat oven to 300 degrees F (150 degrees C).  Grease cookie sheets. Roll dough into a log 1 inch in diameter.  Cut 1/2-inch thick slices.  Shape slices into balls and place on cookie sheets.  Press half an almond into top of each ball andBake 25 to 30 minutes in the preheated oven, until the edges are golden. Remove from cookie sheets to cool on wire racks.;84.5;30;https://images.media-allrecipes.com/userphotos/560x315/580681.jpg
18112;Sugar Cream Pie IV Recipe;Teresa;4;20 m;50 m;1 h 15 m;bake,white sugar,flour,brown sugar,salt,water,whipping cream,nutmeg,vanilla;Preheat oven to 425 degrees F (220 degrees C).In a medium-size mixing bowl, combine white sugar, flour, brown sugar, and salt. Gradually stir in boiling water until mixture is smooth. Mix in cream, nutmeg, and vanilla. Pour mixture into pastry shell.Bake in preheated oven for 10 minutes. Reduce heat to 350 degrees F (175 degrees C) and bake an additional 40 minutes.;36.5;8;https://images.media-allrecipes.com/userphotos/560x315/2880695.jpg
18910;Honey Glazed Carrots Recipe;JBSRONNIE;87;5 m;45 m;50 m;vegetable oil,carrot,onion,worcestershire sauce,oregano,sodium,garlic,pepper,honey,butter;Preheat oven to 325 degrees F (165 degrees C).  Lightly grease the bottom of a 9x13 inch baking dish.Toss carrots with onion, and add Worcestershire sauce, oregano, monosodium glutamate, garlic powder, salt and pepper.Bake for 45 minutes, or until tender.  Turn oven off and add  honey and butter, mixing thoroughly.  Place dish back in the warm oven for a few minutes.  Serve immediately.;376.0;5;https://images.media-allrecipes.com/userphotos/250x250/139894.jpg
16814;Taco Salad Recipe;KITKATY;10;30 m;X;30 m;bean,vegetarian,taco,onion,salsa,tortillas,cheddar,lettuce,tomato;In a medium-size mixing bowl combine beans, burger, taco seasoning, onions, salsa, and refrigerate.When ready to serve, layer in individual bowls: chips, cheese, lettuce, bean mixture, and top with diced tomatoes.;411.5;7;https://images.media-allrecipes.com/userphotos/250x250/170298.jpg
7191;Jo Jos Favorite Banana Muffins Recipe;Jo Jo;317;X;X;X;flour,white sugar,banana,margarine,egg,milk,baking powder,baking soda,cinnamon,salt;In a medium bowl mix flour, baking powder, baking soda, salt, and cinnamon and set aside.In a separate bowl cream margarine and sugar, add eggs and mix until smooth. Stir in milk and mashed banana and mix well.Fold in flour mixture into the liquid ingredients until combined.Fill greased muffin tins two-thirds of the way full.Bake in a preheated 350 degree F (175 degrees C) oven for 25 to 30 minutes.;160.4;18;https://images.media-allrecipes.com/userphotos/250x250/15797.jpg
9186;Pumpkin Crunch Cake Recipe;Nora LaCroix;377;15 m;1 h;1 h 15 m;pumpkin,milk,egg,white sugar,pumpkin,salt,cake,pecan,margarine,topping thawed;Preheat oven to 350 degrees F (175 degrees C). Lightly grease one 9x13 inch baking pan.In a large bowl, combine pumpkin, evaporated milk, eggs, sugar, pumpkin pie spice, and salt. Mix well, and spread into the prepared pan.Sprinkle cake mix over the top of the pumpkin mixture, and pat down. Sprinkle chopped pecans evenly over the cake mix, then drizzle with melted margarine.Bake for 60 to 80 minutes, or until done. Top with whipped topping when ready to serve.;236.4;18;https://images.media-allrecipes.com/userphotos/560x315/4209666.jpg
10419;Quick Peanut Butter Cookies Recipe;Vicki Douglas;385;15 m;8 m;40 m;peanut butter,white sugar,egg,baking soda;Preheat oven to 325 degrees F (165 degrees C).In a medium bowl, mix together the peanut butter, sugar, egg, and baking soda until well blended. Roll dough into 1 inch balls, and place on ungreased cookie sheets.Bake for 6 to 8 minutes in the preheated oven. Cool on cookie sheets until set, before transferring to wire racks to cool completely.;147.6;36;https://images.media-allrecipes.com/userphotos/560x315/5801955.jpg
16261;Picante Marinated Chicken Recipe;LILQUIZ;27;X;X;X;sauce,mustard,lemon juice,chicken,olive;In a large glass bowl combine the picante sauce, mustard and lemon juice. Add chicken and toss to coat. Cover and marinate in the refrigerator for 30 minutes.Heat olive oil in a large skillet. Remove chicken from marinade and saute in hot oil until well browned on both sides. Add remaining marinade and let simmer until chicken is glazed and tender and juices run clear. Remove chicken to platter/serving dish. Boil remaining marinade for 5 minutes to remove possibility of bacteria, then pour over chicken.;889.3;6;https://images.media-allrecipes.com/userphotos/560x315/561536.jpg
